# timestamp | ip_address | user_id | action | status
2025-12-01 08:00:01 | 192.168.1.10 | 101 | LOGIN | SUCCESS
2025-12-01 08:05:23 | 45.123.45.67 | admin | LOGIN | FAILED
2025-12-01 08:05:25 | 45.123.45.67 | admin | LOGIN | FAILED
2025-12-01 08:05:28 | 45.123.45.67 | admin | LOGIN | FAILED
2025-12-01 08:05:30 | 45.123.45.67 | admin | LOGIN | FAILED
2025-12-01 08:05:35 | 45.123.45.67 | admin | LOGIN | FAILED
2025-12-01 09:12:00 | 89.234.56.78 | user2 | PASSWORD_RESET | FAILED
2025-12-01 09:12:05 | 89.234.56.78 | user2 | PASSWORD_RESET | FAILED
2025-12-02 10:00:00 | 101.202.45.88 | system | SCAN | BLOCKED
2025-12-03 14:00:00 | 192.168.1.12 | 102 | LOGIN | SUCCESS

